authority_identifier,authority_name,county
corliss_twp_mn,Corliss,Otter Tail
cormant_twp_mn,Cormant,Beltrami
cormorant_twp_mn,Cormorant,Becker
cornish/aitkin_twp_mn,Cornish,Aitkin
cornish/sibley_twp_mn,Cornish,Sibley
cosmos_twp_mn,Cosmos,Meeker
cotton_twp_mn,Cotton,St. Louis
cottonwood_twp_mn,Cottonwood,Brown
courtland_twp_mn,Courtland,Nicollet
crane-lake_twp_mn,Crane Lake,St. Louis
crate_twp_mn,Crate,Chippewa
credit-river_twp_mn,Credit River,Scott
croke_twp_mn,Croke,Traverse
cromwell_twp_mn,Cromwell,Clay
crooked-creek_twp_mn,Crooked Creek,Houston
crooked-lake_twp_mn,Crooked Lake,Cass
crooks_twp_mn,Crooks,Renville
crookston_twp_mn,Crookston,Polk
crosby_twp_mn,Crosby,Pine
crow-lake_twp_mn,Crow Lake,Stearns
crow-river_twp_mn,Crow River,Stearns
crow-wing_twp_mn,Crow Wing,Crow Wing
crow-wing-lake_twp_mn,Crow Wing Lake,Hubbard
crystal-bay_twp_mn,Crystal Bay,Lake
cuba_twp_mn,Cuba,Becker
culdrum_twp_mn,Culdrum,Morrison
culver_twp_mn,Culver,St. Louis
cushing_twp_mn,Cushing,Morrison
custer_twp_mn,Custer,Lyon
daggett-brook_twp_mn,Daggett Brook,Crow Wing
dahlgren_twp_mn,Dahlgren,Carver
dailey_twp_mn,Dailey,Mille Lacs
dalbo_twp_mn,Dalbo,Isanti
dale_twp_mn,Dale,Cottonwood
dane-prairie_twp_mn,Dane Prairie,Otter Tail
danforth_twp_mn,Danforth,Pine
danielson_twp_mn,Danielson,Meeker
danville_twp_mn,Danville,Blue Earth
darling_twp_mn,Darling,Morrison
darnen_twp_mn,Darnen,Stevens
darwin_twp_mn,Darwin,Meeker
dassel_twp_mn,Dassel,Meeker
davis_twp_mn,Davis,Kittson
dead-lake_twp_mn,Dead Lake,Otter Tail
decoria_twp_mn,Decoria,Blue Earth
deer_twp_mn,Deer,Roseau
deer-creek_twp_mn,Deer Creek,Otter Tail
deer-park_twp_mn,Deer Park,Pennington
deer-river_twp_mn,Deer River,Itasca
deerfield/cass_twp_mn,Deerfield,Cass
deerfield/steele_twp_mn,Deerfield,Steele
deerhorn_twp_mn,Deerhorn,Wilkin
deerwood/crow-wing_twp_mn,Deerwood,Crow Wing
deerwood/kittson_twp_mn,Deerwood,Kittson
delafield_twp_mn,Delafield,Jackson
delavan_twp_mn,Delavan,Faribault
delaware_twp_mn,Delaware,Grant
delhi_twp_mn,Delhi,Redwood
dell-grove_twp_mn,Dell Grove,Pine
delton_twp_mn,Delton,Cottonwood
denmark_twp_mn,Denmark,Washington
denver_twp_mn,Denver,Rock
derrynane_twp_mn,Derrynane,Le Sueur
des-moines_twp_mn,Des Moines,Jackson
des-moines-river_twp_mn,Des Moines River,Murray
detroit_twp_mn,Detroit,Becker
dewald_twp_mn,Dewald,Nobles
dewey_twp_mn,Dewey,Roseau
dexter_twp_mn,Dexter,Mower
diamond-lake_twp_mn,Diamond Lake,Lincoln
dieter_twp_mn,Dieter,Roseau
dollymount_twp_mn,Dollymount,Traverse
donnelly/marshall_twp_mn,Donnelly,Marshall
donnelly/stevens_twp_mn,Donnelly,Stevens
dora_twp_mn,Dora,Otter Tail
douglas_twp_mn,Douglas,Dakota
dover_twp_mn,Dover,Olmsted
dovray_twp_mn,Dovray,Murray
dovre_twp_mn,Dovre,Kandiyohi
drammen_twp_mn,Drammen,Lincoln
dresbach_twp_mn,Dresbach,Winona
dryden_twp_mn,Dryden,Sibley
dublin_twp_mn,Dublin,Swift
dudley_twp_mn,Dudley,Clearwater
duluth_twp_mn,Duluth,St. Louis
dunbar_twp_mn,Dunbar,Faribault
dunn_twp_mn,Dunn,Otter Tail
durand_twp_mn,Durand,Beltrami
eagle_twp_mn,Eagle,Carlton
eagle-lake_twp_mn,Eagle Lake,Otter Tail
eagle-point_twp_mn,Eagle Point,Marshall
eagle-valley_twp_mn,Eagle Valley,Todd
eagle-view_twp_mn,Eagle View,Becker
eagles-nest_twp_mn,Eagles Nest,St. Louis
east-chain_twp_mn,East Chain,Martin
east-lake-lillian_twp_mn,East Lake Lillian,Kandiyohi
east-park_twp_mn,East Park,Marshall
east-side_twp_mn,East Side,Mille Lacs
east-valley_twp_mn,East Valley,Marshall
eastern_twp_mn,Eastern,Otter Tail
echo_twp_mn,Echo,Yellow Medicine
eckles_twp_mn,Eckles,Beltrami
eckvoll_twp_mn,Eckvoll,Marshall
eddy_twp_mn,Eddy,Clearwater
eden/brown_twp_mn,Eden,Brown
eden/pipestone_twp_mn,Eden,Pipestone
eden/polk_twp_mn,Eden,Polk
eden-lake_twp_mn,Eden Lake,Stearns
edison_twp_mn,Edison,Swift
edna_twp_mn,Edna,Otter Tail
edwards_twp_mn,Edwards,Kandiyohi
effington_twp_mn,Effington,Otter Tail
eglon_twp_mn,Eglon,Clay
eidsvold_twp_mn,Eidsvold,Lyon
elba_twp_mn,Elba,Winona
elbow-lake_twp_mn,Elbow Lake,Grant
eldorado_twp_mn,Eldorado,Stevens
elgin_twp_mn,Elgin,Wabasha
elizabeth_twp_mn,Elizabeth,Otter Tail
elk_twp_mn,Elk,Nobles
elk-lake_twp_mn,Elk Lake,Grant
elkton_twp_mn,Elkton,Clay
ellington_twp_mn,Ellington,Dodge
ellsborough_twp_mn,Ellsborough,Murray
ellsburg_twp_mn,Ellsburg,St. Louis
ellsworth_twp_mn,Ellsworth,Meeker
elm-creek_twp_mn,Elm Creek,Martin
elmdale_twp_mn,Elmdale,Morrison
elmer/pipestone_twp_mn,Elmer,Pipestone
elmer/st-louis_twp_mn,Elmer,St. Louis
elmira_twp_mn,Elmira,Olmsted
elmo_twp_mn,Elmo,Otter Tail
elmore_twp_mn,Elmore,Faribault
elmwood_twp_mn,Elmwood,Clay
elysian_twp_mn,Elysian,Le Sueur
emardville_twp_mn,Emardville,Red Lake
embarrass_twp_mn,Embarrass,St. Louis
emerald_twp_mn,Emerald,Faribault
emmet_twp_mn,Emmet,Renville
empire_twp_mn,Empire,Dakota
enstrom_twp_mn,Enstrom,Roseau
enterprise_twp_mn,Enterprise,Jackson
equality_twp_mn,Equality,Red Lake
erdahl_twp_mn,Erdahl,Grant
erhards-grove_twp_mn,Erhards Grove,Otter Tail
ericson_twp_mn,Ericson,Renville
erie_twp_mn,Erie,Becker
erin_twp_mn,Erin,Rice
espelie_twp_mn,Espelie,Marshall
esther_twp_mn,Esther,Polk
euclid_twp_mn,Euclid,Polk
eureka_twp_mn,Eureka,Dakota
evansville_twp_mn,Evansville,Douglas
everglade_twp_mn,Everglade,Stevens
evergreen_twp_mn,Evergreen,Becker
everts_twp_mn,Everts,Otter Tail
ewington_twp_mn,Ewington,Jackson
excel_twp_mn,Excel,Marshall
eyota_twp_mn,Eyota,Olmsted
fahlun_twp_mn,Fahlun,Kandiyohi
fair-haven_twp_mn,Fair Haven,Stearns
fairbanks_twp_mn,Fairbanks,St. Louis
fairfax_twp_mn,Fairfax,Polk
fairfield/crow-wing_twp_mn,Fairfield,Crow Wing
fairfield/swift_twp_mn,Fairfield,Swift
fairmont_twp_mn,Fairmont,Martin
fairview/cass_twp_mn,Fairview,Cass
fairview/lyon_twp_mn,Fairview,Lyon
falk_twp_mn,Falk,Clearwater
fall-lake_twp_mn,Fall Lake,Lake
falun_twp_mn,Falun,Roseau
fanny_twp_mn,Fanny,Polk
farden_twp_mn,Farden,Hubbard
farley_twp_mn,Farley,Polk
farm-island_twp_mn,Farm Island,Aitkin
farming_twp_mn,Farming,Stearns
farmington_twp_mn,Farmington,Olmsted
fawn-lake_twp_mn,Fawn Lake,Todd
faxon_twp_mn,Faxon,Sibley
fayal_twp_mn,Fayal,St. Louis
featherstone_twp_mn,Featherstone,Goodhue
feeley_twp_mn,Feeley,Itasca
felton_twp_mn,Felton,Clay
fenton_twp_mn,Fenton,Murray
fergus-falls_twp_mn,Fergus Falls,Otter Tail
fern_twp_mn,Fern,Hubbard
field_twp_mn,Field,St. Louis
fieldon_twp_mn,Fieldon,Watonwan
fillmore_twp_mn,Fillmore,Fillmore
fine-lakes_twp_mn,Fine Lakes,St. Louis
finlayson_twp_mn,Finlayson,Pine
fish-lake_twp_mn,Fish Lake,Chisago
fisher_twp_mn,Fisher,Polk
fleming/aitkin_twp_mn,Fleming,Aitkin
fleming/pine_twp_mn,Fleming,Pine
flom_twp_mn,Flom,Norman
floodwood_twp_mn,Floodwood,St. Louis
flora_twp_mn,Flora,Renville
florence_twp_mn,Florence,Goodhue
florida_twp_mn,Florida,Yellow Medicine
flowing_twp_mn,Flowing,Clay
foldahl_twp_mn,Foldahl,Marshall
folden_twp_mn,Folden,Otter Tail
folsom_twp_mn,Folsom,Traverse
ford_twp_mn,Ford,Kanabec
forest/becker_twp_mn,Forest,Becker
forest/rice_twp_mn,Forest,Rice
forest-city_twp_mn,Forest City,Meeker
forest-prairie_twp_mn,Forest Prairie,Meeker
forestville_twp_mn,Forestville,Fillmore
fork_twp_mn,Fork,Marshall
fort-ripley_twp_mn,Fort Ripley,Crow Wing
fortier_twp_mn,Fortier,Yellow Medicine
fossum_twp_mn,Fossum,Norman
foster/big-stone_twp_mn,Foster,Big Stone
foster/faribault_twp_mn,Foster,Faribault
fountain_twp_mn,Fountain,Fillmore
fountain-prairie_twp_mn,Fountain Prairie,Pipestone
fox-lake_twp_mn,Fox Lake,Martin
foxhome_twp_mn,Foxhome,Wilkin
framnas_twp_mn,Framnas,Stevens
franconia_twp_mn,Franconia,Chisago
frankford_twp_mn,Frankford,Mower
franklin_twp_mn,Franklin,Wright
fraser_twp_mn,Fraser,Martin
fredenberg_twp_mn,Fredenberg,St. Louis
freeborn_twp_mn,Freeborn,Freeborn
freedom_twp_mn,Freedom,Waseca
freeland_twp_mn,Freeland,Lac qui Parle
freeman_twp_mn,Freeman,Freeborn
fremont_twp_mn,Fremont,Winona
french_twp_mn,French,St. Louis
french-lake_twp_mn,French Lake,Wright
friberg_twp_mn,Friberg,Otter Tail
friendship_twp_mn,Friendship,Yellow Medicine
frohn_twp_mn,Frohn,Beltrami
gail-lake_twp_mn,Gail Lake,Crow Wing
galena_twp_mn,Galena,Martin
gales_twp_mn,Gales,Redwood
garden_twp_mn,Garden,Polk
garden-city_twp_mn,Garden City,Blue Earth
garfield/lac-qui-parle_twp_mn,Garfield,Lac qui Parle
garfield/polk_twp_mn,Garfield,Polk
garnes_twp_mn,Garnes,Red Lake
garrison_twp_mn,Garrison,Crow Wing
geneva_twp_mn,Geneva,Freeborn
gennessee_twp_mn,Gennessee,Kandiyohi
gentilly_twp_mn,Gentilly,Polk
georgetown_twp_mn,Georgetown,Clay
germania_twp_mn,Germania,Todd
germantown_twp_mn,Germantown,Cottonwood
gervais_twp_mn,Gervais,Red Lake
getty_twp_mn,Getty,Stearns
gilchrist_twp_mn,Gilchrist,Pope
gillford_twp_mn,Gillford,Wabasha
gilmanton_twp_mn,Gilmanton,Benton
girard_twp_mn,Girard,Otter Tail
glasgow_twp_mn,Glasgow,Wabasha
glen_twp_mn,Glen,Aitkin
glencoe_twp_mn,Glencoe,McLeod
glendorado_twp_mn,Glendorado,Benton
glenwood_twp_mn,Glenwood,Pope
glyndon_twp_mn,Glyndon,Clay
gnesen_twp_mn,Gnesen,St. Louis
godfrey_twp_mn,Godfrey,Polk
golden-valley_twp_mn,Golden Valley,Roseau
good-hope/itasca_twp_mn,Good Hope,Itasca
good-hope/norman_twp_mn,Good Hope,Norman
goodhue_twp_mn,Goodhue,Goodhue
goodland_twp_mn,Goodland,Itasca
goodridge_twp_mn,Goodridge,Pennington
goose-prairie_twp_mn,Goose Prairie,Clay
gordon_twp_mn,Gordon,Todd
gorman_twp_mn,Gorman,Otter Tail
gorton_twp_mn,Gorton,Grant
gould_twp_mn,Gould,Cass
grace_twp_mn,Grace,Chippewa
graceville_twp_mn,Graceville,Big Stone
grafton_twp_mn,Grafton,Sibley
graham_twp_mn,Graham,Benton
graham-lakes_twp_mn,Graham Lakes,Nobles
granby_twp_mn,Granby,Nicollet
grand-forks_twp_mn,Grand Forks,Polk
grand-lake_twp_mn,Grand Lake,St. Louis
grand-meadow_twp_mn,Grand Meadow,Mower
grand-plain_twp_mn,Grand Plain,Marshall
grand-prairie_twp_mn,Grand Prairie,Nobles
grandview_twp_mn,Grandview,Lyon
grange_twp_mn,Grange,Pipestone
granite_twp_mn,Granite,Morrison
granite-falls_twp_mn,Granite Falls,Chippewa
granite-ledge_twp_mn,Granite Ledge,Benton
granite-rock_twp_mn,Granite Rock,Redwood
grant-valley_twp_mn,Grant Valley,Beltrami
granville_twp_mn,Granville,Kittson
grass-lake_twp_mn,Grass Lake,Kanabec
grattan_twp_mn,Grattan,Itasca
gray_twp_mn,Gray,Pipestone
great-bend_twp_mn,Great Bend,Cottonwood
great-scott_twp_mn,Great Scott,St. Louis
green-isle_twp_mn,Green Isle,Sibley
green-lake_twp_mn,Green Lake,Kandiyohi
green-meadow_twp_mn,Green Meadow,Norman
green-prairie_twp_mn,Green Prairie,Morrison
green-valley_twp_mn,Green Valley,Becker
greenbush_twp_mn,Greenbush,Mille Lacs
greenfield_twp_mn,Greenfield,Wabasha
greenleaf_twp_mn,Greenleaf,Meeker
greenvale_twp_mn,Greenvale,Dakota
greenway_twp_mn,Greenway,Itasca
greenwood/clearwater_twp_mn,Greenwood,Clearwater
