authority_identifier,authority_name
kinbrae_cty_mn,Kinbrae
kingston_cty_mn,Kingston
kinney_cty_mn,Kinney
la-crescent_cty_mn,La Crescent
la-prairie_cty_mn,La Prairie
la-salle_cty_mn,La Salle
lafayette_cty_mn,Lafayette
lake-benton_cty_mn,Lake Benton
lake-bronson_cty_mn,Lake Bronson
lake-city_cty_mn,Lake City
lake-crystal_cty_mn,Lake Crystal
lake-elmo_cty_mn,Lake Elmo
lake-henry_cty_mn,Lake Henry
lake-lillian_cty_mn,Lake Lillian
lake-park_cty_mn,Lake Park
lake-saint-croix-beach_cty_mn,Lake Saint Croix Beach
lake-shore_cty_mn,Lake Shore
lake-wilson_cty_mn,Lake Wilson
lakefield_cty_mn,Lakefield
lakeland_cty_mn,Lakeland
lakeland-shores_cty_mn,Lakeland Shores
lakeville_cty_mn,Lakeville
lamberton_cty_mn,Lamberton
lancaster_cty_mn,Lancaster
landfall_cty_mn,Landfall
lanesboro_cty_mn,Lanesboro
laporte_cty_mn,Laporte
lastrup_cty_mn,Lastrup
lauderdale_cty_mn,Lauderdale
le-center_cty_mn,Le Center
le-roy_cty_mn,Le Roy
le-sueur_cty_mn,Le Sueur
lengby_cty_mn,Lengby
leonard_cty_mn,Leonard
leonidas_cty_mn,Leonidas
lester-prairie_cty_mn,Lester Prairie
lewiston_cty_mn,Lewiston
lewisville_cty_mn,Lewisville
lexington_cty_mn,Lexington
lilydale_cty_mn,Lilydale
lindstrom_cty_mn,Lindstrom
lino-lakes_cty_mn,Lino Lakes
lismore_cty_mn,Lismore
litchfield_cty_mn,Litchfield
little-canada_cty_mn,Little Canada
little-falls_cty_mn,Little Falls
littlefork_cty_mn,Littlefork
long-beach_cty_mn,Long Beach
long-lake_cty_mn,Long Lake
long-prairie_cty_mn,Long Prairie
longville_cty_mn,Longville
lonsdale_cty_mn,Lonsdale
loretto_cty_mn,Loretto
louisburg_cty_mn,Louisburg
lowry_cty_mn,Lowry
lucan_cty_mn,Lucan
luverne_cty_mn,Luverne
lyle_cty_mn,Lyle
lynd_cty_mn,Lynd
mabel_cty_mn,Mabel
madelia_cty_mn,Madelia
madison_cty_mn,Madison
madison-lake_cty_mn,Madison Lake
magnolia_cty_mn,Magnolia
mahnomen_cty_mn,Mahnomen
mahtomedi_cty_mn,Mahtomedi
manchester_cty_mn,Manchester
manhattan-beach_cty_mn,Manhattan Beach
mankato_cty_mn,Mankato
mantorville_cty_mn,Mantorville
maple-grove_cty_mn,Maple Grove
maple-lake_cty_mn,Maple Lake
maple-plain_cty_mn,Maple Plain
mapleton_cty_mn,Mapleton
